benchmark_sequence,original_sequence,filename,scenario,category,sha256,valid_andes_count,false_label_count,labels_json,size_bytes,width,height
1,81,081_item.jpg,item_single_valid,item,99fdab46a653c23694d1b1e3822cd23aab9b0d038c0618eb9c88a90b54089562,1,0,"[{kind: item, valid_andes: true, payload: ASI-HBTRQJ|4, display: ASI-HBTRQJ, qty: 4}]",57260,1200,1000
2,241,241_multi_mixed.jpg,multi_mixed_2,multi_mixed,88feebd02af025a119e53fa4217a4137fa098cb04f262d5da016582444682aa6,1,1,"[{kind: item, valid_andes: true, payload: ASI-F5GZJD|72, display: ASI-F5GZJD, qty: 72}, {kind: false, valid_andes: false, payload: X0001, display: X-0001}]",78222,1200,1000
3,1,001_position.jpg,position_single_valid,position,db76aaf490afe4ed9e3f130024a629ad56e87325af5c14a7397b62d60148b5f3,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B01-P01-L, display: ASP-A01-B01-P01-L}]",61613,1200,1000
4,82,082_item.jpg,item_single_valid,item,28b6b91a933b8604ed95acfb0c9fd38f88093194dfc02de4992d38752b76f8dd,1,0,"[{kind: item, valid_andes: true, payload: ASI-F5CBFP|10, display: ASI-F5CBFP, qty: 10}]",58611,1200,1000
5,271,271_multi_false.jpg,multi_false_2,multi_false,4078b6df601ca6943e27c147c44ea250c4a0721ba39ad068494290a17e47724c,0,2,"[{kind: false, valid_andes: false, payload: POSX0031, display: POSX-0031}, {kind: false, valid_andes: false, payload: FAKE0032, display: FAKE-0032}]",82597,1200,1000
6,2,002_position.jpg,position_single_valid,position,55312fd703b3f802092a409cc43e72e89201c583bc4320c2ac42c4661f083a28,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B01-P01-R, display: ASP-A01-B01-P01-R}]",61961,1200,1000
7,83,083_item.jpg,item_single_valid,item,05933a788e046f1de3b2304f1b06ed6e9180eeb4918113aa3220f3a95be3e240,1,0,"[{kind: item, valid_andes: true, payload: ASI-BN4Q6T|1, display: ASI-BN4Q6T, qty: 1}]",57156,1200,1000
8,84,084_item.jpg,item_single_valid,item,b45fff7d40935da4c0eee40ef992b5f6f6cf2f36ce9a0df5b74e3b12c903da88,1,0,"[{kind: item, valid_andes: true, payload: ASI-L5XTKP|18, display: ASI-L5XTKP, qty: 18}]",57415,1200,1000
9,211,211_multi_true.jpg,multi_true_2,multi_true,8a5662834d601c425916ae7d185d0d969d0c0326425fa2d816a523704d333d1e,2,0,"[{kind: position, valid_andes: true, payload: ASP-A03-B04-P02-L, display: ASP-A03-B04-P02-L}, {kind: item, valid_andes: true, payload: ASI-7SA7UL|3, display: ASI-7SA7UL, qty: 3}]",83297,1200,1000
10,3,003_position.jpg,position_single_valid,position,7b7ecbea1e2c596e2edfaa9c8c5fda405c07739be996e95d91d22dd6e47c963c,1,0,"[{kind: position, valid_andes: true, payload: ASP-A01-B01-P02-L, display: ASP-A01-B01-P02-L}]",61582,1200,1000
