benchmark_sequence,original_sequence,filename,scenario,category,scenario_kind,sha256
1,81,081_item.jpg,item_single_valid,item,item,99fdab46a653c23694d1b1e3822cd23aab9b0d038c0618eb9c88a90b54089562
2,241,241_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,88feebd02af025a119e53fa4217a4137fa098cb04f262d5da016582444682aa6
3,1,001_position.jpg,position_single_valid,position,position,db76aaf490afe4ed9e3f130024a629ad56e87325af5c14a7397b62d60148b5f3
4,82,082_item.jpg,item_single_valid,item,item,28b6b91a933b8604ed95acfb0c9fd38f88093194dfc02de4992d38752b76f8dd
5,271,271_multi_false.jpg,multi_false_2,multi_false,multi_false,4078b6df601ca6943e27c147c44ea250c4a0721ba39ad068494290a17e47724c
6,2,002_position.jpg,position_single_valid,position,position,55312fd703b3f802092a409cc43e72e89201c583bc4320c2ac42c4661f083a28
7,83,083_item.jpg,item_single_valid,item,item,05933a788e046f1de3b2304f1b06ed6e9180eeb4918113aa3220f3a95be3e240
8,84,084_item.jpg,item_single_valid,item,item,b45fff7d40935da4c0eee40ef992b5f6f6cf2f36ce9a0df5b74e3b12c903da88
9,211,211_multi_true.jpg,multi_true_2,multi_true,multi_true,8a5662834d601c425916ae7d185d0d969d0c0326425fa2d816a523704d333d1e
10,3,003_position.jpg,position_single_valid,position,position,7b7ecbea1e2c596e2edfaa9c8c5fda405c07739be996e95d91d22dd6e47c963c
11,85,085_item.jpg,item_single_valid,item,item,791a11f80c3d759a3f610350cc06c22af8b37cba10b6d6278b76ce581a151579
12,242,242_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,c39e2af5bd35ae8804d5cb2155a0408d41a7f07881599b163b5091ae76df1391
13,86,086_item.jpg,item_single_valid,item,item,821cef37555388ebeb6fd681b2fbb04a2766743e51c5f0200cf3ef2d02b5a53a
14,4,004_position.jpg,position_single_valid,position,position,64438c0f08a87d86a16ce3a4423d08cd571496a15d21f4455017d968082e193f
15,87,087_item.jpg,item_single_valid,item,item,414f6d59150f9176b33fa5de1d7b0ea72d3d8b6c3b43817514167cc454b6e4e5
16,272,272_multi_false.jpg,multi_false_2,multi_false,multi_false,49edb26856f9ac9ea3ca4dc48273b3a78cd27bb61b6b04e2fe5eed5928a6ad0c
17,5,005_position.jpg,position_single_valid,position,position,8bc3bbe92f10678dbc8edce647e1540114739fbd7fe7cbef78634011e9f783c6
18,88,088_item.jpg,item_single_valid,item,item,5dcb18746c2b122d5da4bed4414ba738b21d47e736cf100e65fddd523face5cf
19,212,212_multi_true.jpg,multi_true_2,multi_true,multi_true,13aa23f8091942ddcb30aa6f003e19c07043a7df92ac115f75379072f7c19ae3
20,89,089_item.jpg,item_single_valid,item,item,31c07d21a22e893be529a741ed358a89faf093401a611fcccd920bb5a0424a04
21,6,006_position.jpg,position_single_valid,position,position,e56047c0794915b35d4abb44bff08600861ef83e87dc64e9516e6a02bd0f1a3c
22,90,090_item.jpg,item_single_valid,item,item,adfb7cc7197d9d84eb594948a09622cee73a159afe1dd0c65604622c52530d89
23,243,243_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,94ea048c6dee20e0cb3a1f30221c4d512e55a163586c01fe6ed527c2a580ae2d
24,7,007_position.jpg,position_single_valid,position,position,d18263320b5995d4a0b1a3cd8ef2ad119c7c89dcd7634b546bf5ca6c5ba40639
25,91,091_item.jpg,item_single_valid,item,item,888ce7b4dbc84ba7f8af34bc8975ba30022d5a7eb83ca19e12280ed8745dc2e6
26,273,273_multi_false.jpg,multi_false_2,multi_false,multi_false,3cb1baa11a9e9a6bde840f150ee9a20022daf86a5dd643fc94a76d2aa3e65355
27,92,092_item.jpg,item_single_valid,item,item,6f8d88753ef84a3e97758686a0552cc756ba1d1ef412b3025c272efaf4a31d78
28,8,008_position.jpg,position_single_valid,position,position,bcc45af5798c32351060a02e7ce404e1811cb428dc3e0de55ab778d4cf9dd6ae
29,93,093_item.jpg,item_single_valid,item,item,c55a48d5c8e649e5a9f9749f0814d03a21ad87365518852962ff0b397bc93caf
30,213,213_multi_true.jpg,multi_true_2,multi_true,multi_true,738adfc28c3f694525aae649b153c5b484933a18cdeaad76430a6a27e5d598b1
31,94,094_item.jpg,item_single_valid,item,item,cdd1c82485b1db77b6d1e76e1a0b331d92c48bd8841d49c27d0a54ac62b753c3
32,244,244_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,57420df9a73c67bd9f628c6b5bf2ebffa81b515f27d531ad2c2b3572438d4925
33,9,009_position.jpg,position_single_valid,position,position,9e06a86d3fdb52432075f75dc0721e1d7bd23087a3af922ecce70f4b1036c21e
34,95,095_item.jpg,item_single_valid,item,item,521d6a4d9fab2432069282f607975f0ceb4a04d64816afbe954ff808d69d6928
35,274,274_multi_false.jpg,multi_false_2,multi_false,multi_false,48ad12aeead1ed398ad6595db82c12bff6c702c1552d9d5f6dc0ca472a5cdb21
36,10,010_position.jpg,position_single_valid,position,position,8d39633ca150981ef4788e045a43e303db9904a35eea03ac7f541a0ba5d0a541
37,96,096_item.jpg,item_single_valid,item,item,202009bd3dd1838c1b7c25fc54d9cb3061b9171250b3d9ab1efa7a25c91d232f
38,97,097_item.jpg,item_single_valid,item,item,a21dc74c27d701ee088b37fd53a65da72f48d8d5a99f02b4bfd0147e26e7005d
39,214,214_multi_true.jpg,multi_true_2,multi_true,multi_true,bc16012f2bfd620758ef20f7f93df4016be59802411ca84511d5a58d5efa4148
40,11,011_position.jpg,position_single_valid,position,position,d5f4f9d072a5351c4a9aa463dafaf509ff24191addc1c398fa8967e9b415e290
41,98,098_item.jpg,item_single_valid,item,item,f083fcbf619efe1b439f78bc20c5ed3259731107b1f2dd5d6465cbdf192f30f3
42,245,245_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,7a8df3ad9ccd298001193577873c080f19d00a50202835d034238772d5816650
43,99,099_item.jpg,item_single_valid,item,item,3372336ccb57342f4b743b96e2a6421d4f4750cda835ecb382cbcd62b03f30ca
44,12,012_position.jpg,position_single_valid,position,position,52a833742db3b5fdd927e78a4933706b99ffc75c6517ba2ffd401cd5da971ce2
45,100,100_item.jpg,item_single_valid,item,item,ad7be9cc0407e057776ac75f347f8e94b0f6eb3b2160fe5a03929eb4439021a0
46,275,275_multi_false.jpg,multi_false_2,multi_false,multi_false,eaccc658ff6b586faa9a3d67cd43d72b435b786cf586f19d3ea78e65cacb8d09
47,13,013_position.jpg,position_single_valid,position,position,a6540d670942fdf1dfe2f5ac295b66812d6276acb644bc1b96d66f3e1e8d4ab5
48,101,101_item.jpg,item_single_valid,item,item,a33b5043d39d34e03aaa3a0106fc5650afd33cd123b6728d099d11ea9e834372
49,215,215_multi_true.jpg,multi_true_2,multi_true,multi_true,fa0f7bceb8fff3863be2fb783c1647c82caa9fa106121c2fc097a89e930a72ca
50,102,102_item.jpg,item_single_valid,item,item,8e146c9f9fb09696183f872b7adb8708cf62b66825d258b77098636f5253cdf8
51,14,014_position.jpg,position_single_valid,position,position,97c42e5eb6ee676648f581046019ba0022c1b0a7ae00e866a2c680f29ffd455a
52,103,103_item.jpg,item_single_valid,item,item,1b20cf914980b5ddf788ea55059f8c290d86e34ea68f4faad55baed4862f32e1
53,246,246_multi_mixed.jpg,multi_mixed_2,multi_mixed,multi_mixed,7cebaaeb0af22afd4a93a3a4feadf54cb984c2d22194a2686c7846808505b5ab
54,15,015_position.jpg,position_single_valid,position,position,21aee66f469c9b65ade990cc8148cc557600891bbb534dcf7936748781d604d3
55,104,104_item.jpg,item_single_valid,item,item,9d66b3250c443c384e948fd2e65f9a6b97fd85dc50d1cb903b4200c0ffe6fd82
56,276,276_multi_false.jpg,multi_false_2,multi_false,multi_false,646281f7c4c97334a6018af619e14db26f55754a62b0a3402416d9caf0feecae
57,105,105_item.jpg,item_single_valid,item,item,7e9075f5af69bde4e8df48f8bc4195988a6f023146e1907ac66a904d8280ab23
58,16,016_position.jpg,position_single_valid,position,position,2ce272155ff168950521bfb86d5f7d2303cd197f924452cd186a66e2778108a0
