endpoint_id,method,full_path,api_version,module,handler,source_file,source_line,auth_required,roles,tenant_scope,client_scope,supplier_scope,request_type,accepts_files,side_effects,rate_limit,idempotent,risk,dast_priority,evidence_status,bola_bfla_status,consumer_status,used_by_frontend,used_by_mobile
EP-0001,GET,/api/v3/admin/ai-config,v3,admin,get_admin_ai_config,backend/src/api/routes/v3/admin_ai_config.py,27,True,platform_admin_primary_admin_id,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,True,False
EP-0002,GET,/api/v3/admin/ai-config/composed-prompt,v3,admin,get_admin_ai_config_composed_prompt,backend/src/api/routes/v3/admin_ai_config.py,34,True,platform_admin_primary_admin_id,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,False,False
EP-0003,POST,/api/v3/admin/jobs/{job_id}/finalization/recover,v3,admin,post_admin_finalization_recover,backend/src/api/routes/v3/admin_finalization_recovery.py,61,True,observability_capability,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state|starts_processing|may_consume_ai,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
EP-0004,POST,/api/v3/admin/storage/cleanup,v3,admin,post_admin_storage_cleanup,backend/src/api/routes/v3/admin_storage.py,34,True,platform_admin_primary_admin_id,jwt_client_id_optional,policy_or_none,n/a,json,False,mutates_state,none_declared,UNKNOWN,HIGH,HIGH,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,False,False
EP-0005,GET,/api/v3/analytics/aisles,v3,analytics,analytics_aisles,backend/src/api/routes/v3/analytics_api.py,379,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,LOW,LOW,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_NOT_USED,False,False
EP-0006,GET,/api/v3/analytics/benchmark/inventories/{inventory_id}/aisles/{aisle_id}/compare,v3,analytics,analytics_benchmark_compare_aisle_runs,backend/src/api/routes/v3/analytics_api.py,469,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,HIGH,HIGH,VERIFIED,POTENTIAL_BOLA,REGISTERED_AND_USED,False,False
EP-0007,GET,/api/v3/analytics/cost-summary,v3,analytics,analytics_cost_summary,backend/src/api/routes/v3/analytics_api.py,152,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,LOW,LOW,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,True,False
EP-0008,GET,/api/v3/analytics/inventories,v3,analytics,analytics_inventories,backend/src/api/routes/v3/analytics_api.py,340,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,LOW,LOW,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,False,False
EP-0009,GET,/api/v3/analytics/manual-interventions,v3,analytics,analytics_manual_interventions,backend/src/api/routes/v3/analytics_api.py,435,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,LOW,LOW,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_AND_USED,False,False
EP-0010,GET,/api/v3/analytics/quality,v3,analytics,analytics_quality,backend/src/api/routes/v3/analytics_api.py,412,True,platform_admin|company_admin,jwt_client_id_optional,policy_or_none,n/a,none_or_query,False,read_only,none_declared,True,LOW,LOW,VERIFIED,AUTHORIZATION_UNKNOWN,REGISTERED_NOT_USED,False,False
